,IATA,IACO,Aerolinea,Llamada de Identificación,País
457,PT,CCI,Capital Cargo International Airlines,CAPPY,United States
458,GG,GGC,Cargo 360,LONG-HAUL,United States
459,P3,CLU,Cargo Logic Air,FIREBIRD,United Kingdom
460,2G,CRG,Cargoitalia,WHITE PELICAN,Italy
461,W8,CJT,Cargojet Airways,CARGOJET,Canada
462,CV,CLX,Cargolux,CARGOLUX,Luxembourg
463,C8,ICV,Cargolux Italia,CARGO MED,Italy
464,BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago
465,8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda
466,V3,KRP,Carpatair,CARPATAIR,Romania
467,RV,CPN,Caspian Airlines,CASPIAN,Iran
468,KA,HDA,Cathay Dragon,DRAGON,Hong Kong
469,CX,CPA,Cathay Pacific,CATHAY,Hong Kong
470,KX,CAY,Cayman Airways,CAYMAN,Cayman Islands
471,5J,CEB,Cebu Pacific,CEBU,Philippines
472,2C,CMA,CMA-CGM AIRCARGO,FRENCH CARGO,France
473,9M,GLR,Central Mountain Air,GLACIER,Canada
474,J7,CVC,Centre-Avia,AVIACENTRE,Russia
475,WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States
476,OP,CHK,Chalk's International Airlines,CHALKS,United States
477,MG,CCP,Champion Air,CHAMPION AIR,United States
478,2Z,CGN,Chang An Airlines,CHANGAN,China
479,S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad
480,RP*,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States
481,C8,WDY,Chicago Jet Group,WINDY CITY,United States
482,CI,CAL,China Airlines,DYNASTY,Taiwan
483,CK,CKK,China Cargo Airlines,CARGO KING,China
484,MU,CES,China Eastern Airlines,CHINA EASTERN,China
485,G5,HXA,China Express Airlines,CHINA EXPRESS,China
486,CJ,CBF,China Northern Airlines,CHINA NORTHERN,China
487,WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China
488,8Y,CYZ,China Postal Airlines,CHINA POST,China
489,CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China
490,KN,CUA,China United Airlines,LIANHANG,China
491,XO,CXH,China Xinhua Airlines,XINHUA,China
492,3Q,CYH,China Yunnan Airlines,YUNNAN,China
493,X7,CHF,Chitaavia,CHITA,Russia
494,OQ,CQN,Chongqing Airlines,CHONG QING,China
495,A2,CIU,Cielos Airlines,CIELOS,Peru
496,QI,CIM,Cimber Sterling,CIMBER,Denmark
497,C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka
498,C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany
499,G3,CIX,City Connexion Airlines,CONNEXION,Burundi
500,WX,BCY,CityJet,CITY-IRELAND,Ireland
501,CJ,CFE,CityFlyer Express,FLYER,United Kingdom
502,CT,CAT,Civil Air Transport,Mandarin,Taiwan
503,6P,ISG,Club Air,CLUBAIR,Italy
504,BX,CST,Coast Air,COAST CENTER,Norway
505,9L,CJC,Colgan Air,COLGAN,United States
506,YD,CAT,Cologne Air Transport GmbH,,Germany
507,OH,COM,Comair,COMAIR,United States
508,MN,CAW,Comair,COMMERCIAL,South Africa
509,C5,UCA,CommutAir,COMMUTAIR,United States
510,KR,CWK,Comores Airlines,CONTICOM,Comoros
511,CP,CPZ,Compass Airlines,COMPASS ROSE,United States
512,DE,CFG,Condor Flugdienst,CONDOR,Germany
513,CO,COA,Continental Airlines,CONTINENTAL,United States
514,CS,CMI,Continental Micronesia,AIR MIKE,United States
515,CS,Unknown,Cambrian Airways,Cambrian,United Kingdom
516,V0,VCV,Conviasa,CONVIASA,Venezuela
517,CM,CMP,Copa Airlines,COPA,Panama
518,CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic
519,XC,CAI,Corendon Airlines,CORENDON,Turkey
520,CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands
521,LF,VTE,Contour Airlines,VOLUNTEER,United States
522,SS,CRL,Corsairfly,CORSAIR,France
523,XK,CCM,Corse Méditerranée,CORSICA,France
524,F5,COZ,Cosmic Air,COSMIC AIR,Nepal
525,GW,CRG,Costa Rica Green Airways,,Costa Rica
526,7C,COY,Coyne Aviation,COYNE AIR,United Kingdom
527,OU,CTN,Croatia Airlines,CROATIA,Croatia
528,QE,ECC,Crossair Europe,Cigogne,Switzerland
529,CU,CUB,Cubana de Aviación,CUBANA,Cuba
530,CY,CYP,Cyprus Airways,CYPRUS,Cyprus
531,YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey
532,OK,CSA,Czech Airlines,CSA,Czech Republic
533,8L,CGP,Cargo Plus Aviation,,United Arab Emirates
534,5Z,KEM,CemAir,CEMAIR,South Africa
535,XG,CLI,Clickair,CLICKJET,Spain
536,PN,CHB,West Air (China),WEST CHINA,China
537,V5,VPA,DanubeWings,VIP TAXI,Slovakia
538,WD,DSR,DAS Air Cargo,DAIRAIR,Uganda
539,DX,DTR,DAT Danish Air Transport,DANISH,Denmark
540,D0,DHK,DHL Air Limited,WORLD EXPRESS,United Kingdom
541,ES,DHX,DHL International,DILMUN,Bahrain
542,L3,JOS,DHL de Guatemala,,Guatemala
543,D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti
544,N2,DAG,Dagestan Airlines,DAGAL,Russia
545,H8,KHB,Dalavia,DALAVIA,Russia
546,DD,DDL,Danish Air Lines,,Denmark
547,0D,DWT,Darwin Airline,DARWIN,Switzerland
548,D5,DAU,Dauair,DAUAIR,Germany
549,DL,DAL,Delta Air Lines,DELTA,United States
550,J7,DNM,Denim Air,DENIM,Netherlands
551,1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
552,AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia
553,DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States
554,Z6,UDN,Dniproavia,DNIEPRO,Ukraine
555,YU,ADM,Dominair,DOMINAIR,Dominican Republic
556,DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic
557,E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia
558,D9,DNV,Donavia,DONAVIA,Russia
559,5D,UDC,DonbassAero,DONBASS AERO,Ukraine
560,KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan
561,DI,BAG,Dba,SPEEDWAY,Germany
562,MQ,ENY,Envoy Air,ENVOY,United States
563,EL,ELB,Ellinair,ELLINAIR HELLAS,Greece
564,9E,EDV,Endeavor Air,ENDEAVOR,United States
565,VE,EUJ,EUjet,UNION JET,Ireland
566,H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda
567,NZ,EAG,Eagle Airways,EAGLE,New Zealand
568,9A,EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia
569,S9,HSA,East African Safari Air,DUMA,Kenya
570,ZE,ESR,Eastar Jet,EASTAR,South Korea
571,EA,EAL,Eastern Air Lines,EASTERN,United States
572,T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom
573,QF,EAQ,Eastern Australia Airlines,EASTERN,Australia
574,DK,ELA,Eastland Air,,Australia
575,W9,SGR,Eastwind Airlines,STINGER,United States
576,EC,EJU,easyJet Europe,ALPINE,Austria
577,DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland
578,U2,EZY,easyJet UK,EASY,United Kingdom
579,WK,EDW,Edelweiss Air,EDELWEISS,Switzerland
580,MS,MSR,Egyptair,EGYPTAIR,Egypt
581,LY,ELY,El Al Israel Airlines,ELAL,Israel
582,UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya
583,EA,EAI,Emerald Airlines,GEMSTONE,Ireland
584,EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates
585,EM,CFS,Empire Airlines,EMPIRE AIR,United States
586,EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador
587,G8,ENK,EnkorJSC,ENKOR,Russia
588,OF,ENT,Enter Air,ENTER,Poland
589,E0,ESS,Eos Airlines,NEW DAWN,United States
590,B8,ERT,Eritrean Airlines,ERITREAN,Eritrea
591,E7,ESF,Estafeta Carga Aérea,,Mexico
592,OV,ELL,Estonian Air,ESTONIAN,Estonia
593,ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
594,EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
595,MM,MMZ,EuroAtlantic Airways,EUROATLANTIC,Portugal
596,UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus
597,GJ,EEZ,Eurofly,E-FLY,Italy
598,K2,ELO,Eurolot,EUROLOT,Poland
599,3W,EMX,Euromanx Airways,EUROMANX,Austria
600,5O,FPO,Europe Airpost,FRENCH POST,France
601,EA,EAL,European Air Express,STAR WING,Germany
602,QY,BCS,European Air Transport,POSTMAN,Belgium
603,E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom
604,EW,EWG,Eurowings,EUROWINGS,Germany
605,4Y,OCN,Eurowings Discover,OCEAN,Germany
606,E6,EWL,Eurowings Europe,Black Pearl,Malta
607,BR,EVA,EVA Air,EVA,Taiwan
608,EZ,EIA,Evergreen International Airlines,EVERGREEN,United States
609,ZD,EWR,Ewa Air,MAYOTTE AIR,France
610,JN,XLA,Excel Airways,EXPO,United Kingdom
611,MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada
612,OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States
613,EO,LHN,Express One International,LONGHORN,United States
614,EV,ASQ,ExpressJet,ACEY,United States
615,8K,EVS,Exploits Valley Air Services,EVAS,Canada
616,FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan
617,F6,RCK,FaroeJet,ROCKROSE,Faroe Islands
618,F3,FSW,Faso Airways,FASO,Burkina Faso
619,FX,FDX,FedEx Express,FEDEX,United States
620,N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda
621,4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo
622,AY,FIN,Finnair,FINNAIR,Finland
623,FC,WBA,Finncomm Airlines,WESTBIRD,Finland
624,FY,FFM,Firefly,FIREFLY,Malaysia
625,7F,FAB,First Air,FIRST AIR,Canada
626,DP,FCA,First Choice Airways,JETSET,United Kingdom
627,8F,FFR,Fischer Air,FISCHER,Czech Republic
628,8D,EXV,FitsAir,EXPOAVIA,Sri Lanka
629,F8,FLE,Flair Airlines,FLAIR,Canada
630,B5,FLT,Flightline,FLIGHTLINE,United Kingdom
631,PA,FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States
632,RF,FWL,Florida West International Airways,FLO WEST,United States
633,F2,FLM,Fly Air,FLY WORLD,Turkey
634,8W,EDR,Fly All Ways,BIRDVIEW,Suriname
635,G6,ACY,Fly Arna,ARNA,Armenia
636,9Y,FGE,Fly Georgia,GEORGIA WING,Georgia
637,OJ,FJM,Fly Jamaica Airways,GREENHEART,Jamaica
638,9P,FJL,Fly Jinnah,Okaab,Pakistan
639,SH,FLY,Fly Me Sweden,FLYBIRD,Sweden
640,FP,PVV[27][28],Fly Pro,Sunday,Moldova
641,6P,IAD,Fly Wex,FLYWEX,Italy
642,F6,VAW,Fly2Sky,SOFIA JET,Bulgaria
643,D7,XFA,FlyAsianXpress,FAX AIR,Malaysia
644,F7,BBO,Flybaboo,BABOO,Switzerland
645,BE,BEE,Flybe,JERSEY,United Kingdom
646,FO,FBZ,Flybondi,BONDI,Argentina
647,FT,FEG,FlyEgypt,SKY EGYPT,Egypt
648,Y2,GSM,Flyglobespan,GLOBESPAN,United Kingdom
649,SX,TOR,FlyGTA Airlines,HOMERUN,Canada
650,W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand
651,TE,LIL,FlyLal,LITHUANIA AIR,Lithuania
652,XY,KNE,Flynas,NAS EXPRESS,Saudi Arabia
653,LF,NDC,FlyNordic,NORDIC,Sweden
654,FP,FRE,FlyPelican,PELICAN,Australia
655,FS,FOX,Flyr,GREENSTAR,Norway
656,VK,FVK,FlyViking,BALDER,Norway
657,VY,FOS,Formosa Airlines,,Taiwan
658,5F,FIA,Fly One,Fly One,Moldova
659,HK,FSC,Four Star Aviation/Four Star Cargo,FOUR STAR,United States
660,FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey
661,SJ,FOM,Freedom Air,FREE AIR,New Zealand
662,FP,FRE,Freedom Air,FREEDOM,United States
663,F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States
664,2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States
665,FH,FUA,Futura International Airways,FUTURA,Spain
666,FZ,FDB,Flydubai,SKYDUBAI,UAE
667,Y5,GMR,Golden Myanmar Airlines,GOLDEN MYANMAR,Myanmar
668,GT,GBL,GB Airways,GEEBEE AIRWAYS,United Kingdom
669,Z5,GMG,GMG Airlines,GMG,Bangladesh
670,7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan
671,GC,GNR,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia
672,G7,GNF,Gandalf Airlines,Gandalf,Italy
673,GA,GIA,Garuda Indonesia,INDONESIA,Indonesia
674,4G,GZP,Gazpromavia,GAZPROMAVIA,Russia
675,GR,GCO,Gemini Air Cargo,GEMINI,United States
676,A9,TGZ,Georgian Airways,TAMAZI,Georgia
677,QB,GFG,Georgian National Airlines,NATIONAL,Georgia
678,HE,LGW,German Airways,WALTER,Germany
679,ST,GMI,Germania,GERMANIA,Germany
680,4U,GWI,Germanwings,GERMAN WINGS,Germany
681,GP,RIV,APG Airlines,RIVERA,France
682,GH,GLP,Globus Airlines,GLOBUS,Russia
683,GH,GHA,Ghana Airways,GHANA,Ghana
684,G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana
685,6G,RLX,Go2Sky,RELAX,Slovakia
686,G8,GOW,GoAir,GOAIR,India
687,G7,GJS,GoJet Airlines,LINDBERGH,United States
688,G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil
689,DC,GAO,Golden Air,GOLDEN,Sweden
690,5Z,GON,Gonini Air Services,GONINI,Suriname
691,GV,GUN,Grant Aviation,HOOT,United States
692,ZK,GLA,Great Lakes Airlines,LAKES AIR,United States
693,IJ,GWL,Great Wall Airlines,GREAT WALL,China
694,HB,HGB,Greater Bay Airlines,GREATER BAY,Hong Kong
695,G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau
696,J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea
697,G8,GUJ,Gujarat Airways,GUJARATAIR,India
698,GF,GFA,Gulf Air,GULF AIR,Bahrain
699,EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo
700,A5,HOP,Hop!,AIR HOP,France
701,H6,HAG,Hageland Aviation Services,HAGELAND,United States
702,HR,HHN,Hahn Air,ROOSTER,Germany
703,HU,CHH,Hainan Airlines,HAINAN,China
704,2T,HAM,Haiti Ambassador Airlines,,Haiti
705,4R,HHI,Hamburg International,HAMBURG JET,Germany
706,X3,HLX,Hapag-Lloyd Express,YELLOW CAB,Germany
707,HF,HLF,Hapagfly,HAPAG LLOYD,Germany
708,HB,HAR,Harbor Airlines,HARBOR,United States
709,HQ,HMY,Harmony Airways,HARMONY,Canada
710,HA,HAL,Hawaiian Airlines,HAWAIIAN,United States
711,HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia
712,JB,JBA,Helijet,HELIJET,Canada
713,ZU,HCY,Helios Airways,HELIOS,Cyprus
714,9I,HTA,Helitrans,SCANBIRD,Norway
715,HJ,HEJ,Hellas Jet,HELLAS JET,Greece
716,HW,FHE,Hello,FLYHELLO,Switzerland
717,2L,OAW,Helvetic Airways,HELVETIC,Switzerland
718,UD,HER,Hex'Air,HEX AIRLINE,France
719,5K,HFY,Hi Fly,SKY FLYER,Portugal
720,H9,HIM,Himalaya Airlines,HIMALAYA,Nepal
721,VM,VMS,His Majesty King Maha Vajiralongkorn,VICTOR MIKE[32],Thailand
722,H5,HOA,Hola Airlines,HOLA,Spain
723,HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic
724,HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong
725,RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong
726,UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong
727,A6,HTU,Hongtu Airlines,HONGLAND,China
728,QX,QXE,Horizon Air,HORIZON AIR,United States
729,BN,HZA,Horizon Airlines,HORIZON,Australia
730,HW,UBD,FlyErbil,HAWLER,Iraqi Kurdistan
731,MR,MML,Hunnu Air,TRANS MONGOLIA,Mongolia
732,I4,EXP,Island Air Express,ISLAND EXPRESS,United States
733,IK,KAR,Ikar,IKAR,Russian Federation
734,IB,IBE,Iberia Airlines,IBERIA,Spain
735,II,CSQ,IBC Airways,CHASQUI,United States
736,I2,IBS,Iberia Express,IBEREXPRESS,Spain
737,TY,IWD,Iberworld,IBERWORLD,Spain
738,FW,IBX,Ibex Airlines,IBEX,Japan
739,0C,IBL,IBL Aviation,CATOVAIR,Mauritius
740,C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine
741,FI,ICE,Icelandair,ICEAIR,Iceland
742,V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States
743,DH,IDE,Independence Air,INDEPENDENCE AIR,United States
744,I7,IOA,IndiaOne Air,INDIA FIRST,India
745,6E,IGO,IndiGo,IFLY,India
746,IC,IAC,Indian Airlines,INDAIR,India
747,I9,IBU,Indigo Airlines,INDIGO BLUE,United States
748,VP,AXC,Indochina Airlines,AIRSPUP,Vietnam
749,QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
750,IO,IAA,Indonesian Airlines,INDO LINES,Indonesia
751,C4,IMX,Zimex Aviation,ZIMEX,Switzerland
752,H4,IIN,Inter Island Airways,,Cape Verde
753,D6,ILN,Interair South Africa,INLINE,South Africa
754,ZA,SUW,Interavia Airlines,ASTAIR,Russia
755,JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands
756,RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia
757,4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
758,ID,ITK,Interlink Airlines,INTERLINK,South Africa
759,N/A,NCC,"T3 Aviation, Inc.",STARFLEET,United States
760,6I,IBZ,International Business Air,INTERBIZ,Sweden
761,3L,ISK,Intersky,INTERSKY,Austria
762,I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands
763,IR,IRA,Iran Air,IRANAIR,Iran
764,EP,IRC,Iran Aseman Airlines,ASEMAN,Iran
765,IA,IAW,Iraqi Airways,IRAQI,Iraq
766,IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan
767,2S,SDY,Island Express,SANDY ISLE,United States
768,IF,ISW,Islas Airways,PINTADERA,Spain
769,WC,ISV,Islena De Inversiones,,Honduras
770,6H,ISR,Israir,ISRAIR,Israel
771,AZ,ITY,ITA Airways,ITARROW,Italy
772,FS,ACL,Itali Airlines,SPADA,Italy
773,GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
774,H9,IZM,Izair,IZMIR,Turkey
775,JC,JEX,JAL Express,JANEX,Japan
776,JO,JAZ,JALways,JALWAYS,Japan
777,MT,JMC,JMC Airlines,JAYEMMSEE,United Kingdom
778,JI,JAE,Jade Cargo International,JADE CARGO,China
779,3X,JAC,Japan Air Commuter,COMMUTER,Japan
780,JL,JAL,Japan Airlines,JAPANAIR,Japan
781,JL,JAL,Japan Airlines Domestic,J-BIRD,Japan
782,EG,JAA,Japan Asia Airways,ASIA,Japan
783,NU,JTA,Japan Transocean Air,JAI OCEAN,Japan
784,JA,JAT,JetSMART,ROCKSMART,Chile
785,VJ,JTY,Jatayu Airlines,JATAYU,Indonesia
786,J9,JZR,Jazeera Airways,JAZEERA,Kuwait
787,7C,JJA,Jeju Air,JEJU AIR,Republic of Korea
788,O2,JEA,OLT Express,JETA,Poland
789,9W,JAI,Jet Airways,JET AIRWAYS,India
790,PP,PJS,Jet Aviation,JETAVIATION,Switzerland
791,3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
792,LS,EXS,Jet2.com,CHANNEX,United Kingdom
793,B6,JBU,JetBlue Airways,JETBLUE,United States
794,JF,JAA,Jet Asia Airways,JET ASIA,Thailand
795,0J,JCS,Jetclub,JETCLUB,Switzerland
796,SG,JGO,JetsGo,JETSGO,Canada
797,JQ,JST,Jetstar,JETSTAR,Australia
798,GK,JJP,Jetstar Japan,ORANGE LINER,Japan
799,JM,JKT,Jetstar Hong Kong Airways,KAITAK,China
800,JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore
801,JO,JTD,Jettime,JETTIME,Denmark
802,GX,JXX,JetX Airlines,JETBIRD,Iceland
803,LJ,JNA,Jin Air,JIN AIR,South Korea
804,R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan
805,J4,JCI,Jordan International Air Cargo,,Jordan
806,XE,JSX,JSX (airline),BIGSTRIPE,United States
807,6J,JUB,Jubba Airways,JUBBA,Somalia
808,HO,DKH,Juneyao Airlines,AIR JUNEYAO,China
809,KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine
810,KD,KLS,Kalstar Aviation,KALSTAR,Indonesia
811,KD,KNI,KD Avia,KALININGRAD AIR,Russia
812,WA,KLC,KLM Cityhopper,CITY,Netherlands
813,KL,KLM,KLM,KLM,Netherlands
814,N2,QNK,Kabo Air,KABO,Nigeria
815,KI,KAI,KaiserAir,KAISER,United States
816,K4,CKS,Kalitta Air,CONNIE,United States
817,K9,KFS,Kalitta Charters,KALITTA,United States
818,CB*,KII,Kalitta Charters II,DRAGSTER,United States
819,RQ,KMF,Kam Air,KAMGAR,Afghanistan
820,E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
821,V2,AKT,Karat,AVIAKARAT,Russia
822,KV,MVD,Kavminvodyavia,AIR MINVODY,Russia
823,KC,KZR,Air Astana,ASTANALINE,Kazakhstan
824,3Q,KCH,KC International Airlines,CAM AIR,Cambodia
825,KW,KFA,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada
826,M5,KEN,Kenmore Air,KENMORE,United States
827,KQ,KQA,Kenya Airways,KENYA,Kenya
828,ZN,KEY,Key Airlines,KEY AIR,United States
829,KG,LYM,Key Lime Air,KEY LIME,United States
830,BZ,KEE,Keystone Air Service,KEYSTONE,Canada
831,K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria
832,X9KO,KHO,Khors Aircompany,AIRCOMPANY KHORS,Ukraine
833,IT,KFR,Kingfisher Airlines,KINGFISHER,India
834,4I,KNX,Knighthawk Air Express,KNIGHT FLIGHT,Canada
835,Y9,IRK,Kish Air,KISHAIR,Iran
836,KR,KHA,Kitty Hawk Aircargo,AIR KITTYHAWK,United States
837,2K,KHC,Kitty Hawk Airways,CARGO HAWK,United States
838,KP,KIA,Kiwi International Air Lines,KIWI AIR,United States
839,7K,KGL,Kogalymavia Air Company,KOGALYM,Russia
840,8J,KMV,Komiinteravia,KOMIINTER,Russia
841,KE,KAL,Korean Air,KOREANAIR,South Korea
842,7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia
843,K9,KRI,Krylo Airlines,Krylo,Russia
844,GW,KIL,Kuban Airlines,AIR KUBAN,Russia
845,VD,KPA,Kunpeng Airlines,KUNPENG,China
846,KU,KAC,Kuwait Airways,KUWAITI,Kuwait
847,GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
848,N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan
849,QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
850,R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
851,FK,KEW,Keewatin Air,BLIZZARD,Canada
852,YL,LWA,Libyan Wings,LIBYAN WINGS,Libya
853,YQ,LCT,TAR Aerolineas,TAR,Mexico
854,JF,LAB,L.A.B. Flying Service,LAB,United States
855,LR,LRC,LACSA,LACSA,Costa Rica
856,KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela
857,4M,DSM,LATAM Argentina,LAN AR,Argentina
858,JJ,TAM,LATAM  Brasil,TAM,Brazil
859,UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile
860,LA,LAN,LATAM Chile,LAN CHILE,Chile
861,4C,ARE,LATAM Colombia,LAN COLOMBIA,Colombia
862,LU,LXP,LATAM Express,LANEX,Chile
863,PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay
864,LP,LPE,LATAM Peru,LANPERU,Peru
865,LO,LOT,LOT Polish Airlines,POLLOT,Poland
866,XO,LTE,LTE International Airways,FUN JET,Spain
867,L3,LTO,LTU Austria,BILLA TRANSPORT,Austria
868,LT,LTU,LTU International,LTU,Germany
869,N6,JEV,Lagun Air,,Spain
870,IK,LKN,Lankair,Lankair,Sri Lanka
871,QL,RLN,Lankan Cargo,AERO LANKA,Sri Lanka
872,QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic
873,L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines
874,NG,LDA,Lauda Air,LAUDA AIR,Austria
875,OE[40],LDM,LaudaMotion,LAUDA MOTION,Austria
876,LQ,LAQ,Lebanese Air Transport,LAT,Lebanon
877,LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
878,LV,LVL,Level,LEVEL,Spain and France
879,LN,LAA,Libyan Arab Airlines,LIBAIR,Libya
880,L7,LNP,Línea Aérea SAPSA,SAPSA,Chile
881,QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela
882,ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico
883,TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique
884,JT,LNI,Lion Air,LION INTER,Indonesia
885,LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy
886,LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia
887,LM,LOG,Loganair,LOGAN,United Kingdom
888,GJ,CDC,Loong Air,LOONG AIR,China
889,LH,DLH,Lufthansa,LUFTHANSA,Germany
890,LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany
891,CL,CLH,Lufthansa CityLine,HANSALINE,Germany
892,L5,LTR,Lufttransport,LUFT TRANSPORT,Norway
893,LG,LGL,Luxair,LUXAIR,Luxembourg
894,5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
895,L2,LYC,Lynden Air Cargo,LYNDEN,United States
896,Y9,DAT,Lynx Air,DAUNTLESS,Canada
897,L4,SSX,Lynx Aviation,SHASTA,United States
898,Z8,AZN,Línea Aérea Amaszonas,,Bolivia
899,MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina
900,LT,SNG,LongJiang Airlines,SNOW EAGLE,China
901,Q2,DQA,Maldivian (airline),SKYSURFER,Maldives
902,BF,MRK,MarkAir,MARKAIR,United States
903,WD,MWM,Modern Transporte Aereo De Carga,MODERNAIR,Brazil
904,OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia
905,AQ,MPJ,MAP-Management and Planung,MAPJET,Austria
906,M7,MAA,MasAir,MAS CARGA,Mexico
907,MH,MWG,MASwings,MASWINGS,Malaysia
908,IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
909,OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
910,MB,MNB,MNG Airlines,BLACK SEA,Turkey
911,CC,MCK,Macair Airlines,,Australia
912,DM,DAN,Maersk Air,MAERSKAIR,Denmark
913,VB,MSK,Maersk Air UK,BLUESTAR,United Kingdom
914,W5,IRM,Mahan Air,MAHAN AIR,Iran
915,M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia
916,MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia
